NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHARES/ PRN AMT,SH/ PRN,INVSTMT DSCRETN,OTHER
3M CO,COMMON,88579Y101,41907,529464,SH,SOLE,529464
ABBOTT LABS,COMMON,2824100,1317,23886,SH,SOLE,23886
ACCENTURE LTD BERMUDA,CLASS A,G1150G111,3517,100000,SH,SOLE,100000
ACE LTD,COMMON,G0070K103,435,7900,SH,SOLE,7900
ADVANTAGE ENERGY INCOME FD,TRUST UNIT,00762L101,353,30695,SH,SOLE,30695
AES CORP,COMMON,00130H105,329,19764,SH,SOLE,19764
AETNA INC NEW,COMMON,00817Y108,615,14609,SH,SOLE,14609
AFLAC INC,COMMON,1055102,2295,35337,SH,SOLE,35337
AGNICO EAGLE MINES LTD,COMMON,8474108,35154,518100,SH,SOLE,518100
AGRIUM INC,COMMON,8916108,17706,284927,SH,SOLE,284927
ALBERTO CULVER CO NEW,COMMON,13078100,625,22800,SH,SOLE,22800
ALLSTATE CORP,COMMON,20002101,2829,58869,SH,SOLE,58869
ALPHA NATURAL RESOURCES INC,COMMON,02076X102,1520,35000,SH,SOLE,35000
ALTRIA GROUP INC,COMMON,02209S103,19372,872594,SH,SOLE,872594
AMAZON COM INC,COMMON,23135106,207,2900,SH,SOLE,2900
AMEREN CORP,COMMON,23608102,287,6527,SH,SOLE,6527
AMERICAN EXPRESS CO,COMMON,25816109,726,16615,SH,SOLE,16615
AMERICAN INTL GROUP INC,COMMON,26874107,56246,1300479,SH,SOLE,1300479
AMERISOURCEBERGEN CORP,COMMON,########,660,16111,SH,SOLE,16111
AMGEN INC,COMMON,31162100,13401,320747,SH,SOLE,320747
ANALOG DEVICES INC,COMMON,32654105,266,9000,SH,SOLE,9000
ANGLOGOLD ASHANTI LTD,ADR (1 ORD SHR),35128206,717,21100,SH,SOLE,21100
ANHEUSER BUSCH COS INC,COMMON,35229103,3006,63345,SH,SOLE,63345
ANHEUSER BUSCH COS INC,COMMON,35229103,4745,100000,SH,SOLE,100000
APACHE CORP,COMMON,37411105,9025,74696,SH,SOLE,74696
APPLE INC,COMMON,37833100,7175,50000,SH,SOLE,50000
ARCH COAL INC,COMMON,39380100,1392,32000,SH,SOLE,32000
ARCHER DANIELS MIDLAND CO,COMMON,39483102,8434,204915,SH,SOLE,204915
ASSURANT INC,COMMON,04621X108,250,4100,SH,SOLE,4100
AT&T INC,COMMON,00206R102,3966,103552,SH,SOLE,103552
AUTOMATIC DATA PROCESSING IN,COMMON,53015103,1797,42390,SH,SOLE,42390
AUTOZONE INC,COMMON,53332102,228,2000,SH,SOLE,2000
BANK MONTREAL QUE,COMMON,63671101,54511,1217217,SH,SOLE,1217217
BANK NOVA SCOTIA HALIFAX,COMMON,64149107,89366,1969802,SH,SOLE,1969802
BANK OF AMERICA CORPORATION,COMMON,60505104,2272,59929,SH,SOLE,59929
BANRO CORP,COMMON,66800103,2287,279053,SH,SOLE,279053
BARRICK GOLD CORP,COMMON,67901108,83425,1907276,SH,SOLE,1907276
BAXTER INTL INC,COMMON,71813109,395,6826,SH,SOLE,6826
BAYTEX ENERGY TR,TRUST UNIT,73176109,5193,233900,SH,SOLE,233900
BB&T CORP,COMMON,54937107,347,10819,SH,SOLE,10819
BCE INC,COMMON,05534B760,1720571,50802638,SH,SOLE,50802638
BEA SYS INC,COMMON,73325102,5914,308836,SH,SOLE,308836
BECTON DICKINSON & CO,COMMON,75887109,1801,20983,SH,SOLE,20983
BERKLEY W R CORP,COMMON,84423102,471,17000,SH,SOLE,17000
BERKSHIRE HATHAWAY INC DEL,CLASS B,84670207,36052,8060,SH,SOLE,8060
BIG LOTS INC,COMMON,89302103,241,10800,SH,SOLE,10800
BIOVAIL CORP,COMMON,09067J109,1390,129055,SH,SOLE,129055
BMC SOFTWARE INC,COMMON,55921100,462,14200,SH,SOLE,14200
BRISTOL MYERS SQUIBB CO,COMMON,1.10E+08,11525,541101,SH,SOLE,541101
BROADRIDGE FINL SOLUTIONS IN,COMMON,11133T103,181,10297,SH,SOLE,10297
BROOKFIELD ASSET MGMT INC,CLASS A LTD VTG,1.13E+08,26396,979162,SH,SOLE,979162
BROOKFIELD PPTYS CORP,COMMON,1.13E+08,390,20200,SH,SOLE,20200
BROWN FORMAN CORP,CLASS B,1.16E+08,311,4700,SH,SOLE,4700
CA INC,COMMON,12673P105,427,19000,SH,SOLE,19000
CAMECO CORP,COMMON,13321L108,23571,714678,SH,SOLE,714678
CANADIAN NAT RES LTD,COMMON,1.36E+08,79040,1154112,SH,SOLE,1154112
CANADIAN NATL RY CO,COMMON,1.36E+08,170691,3518940,SH,SOLE,3518940
CANADIAN PAC RY LTD,COMMON,13645T100,41757,649158,SH,SOLE,649158
CAPITAL ONE FINL CORP,COMMON,14040H105,426,8662,SH,SOLE,8662
CARDINAL HEALTH INC,COMMON,14149Y108,1304,24835,SH,SOLE,24835
CARNIVAL CORP,COMMON,1.44E+08,530,13100,SH,SOLE,13100
CATERPILLAR INC DEL,COMMON,1.49E+08,277,3540,SH,SOLE,3540
CDN IMPERIAL BK OF COMMERCE,COMMON,1.36E+08,68342,1060853,SH,SOLE,1060853
CENTERPOINT ENERGY INC,COMMON,15189T107,308,21599,SH,SOLE,21599
CENTURYTEL INC,COMMON,1.57E+08,598,18000,SH,SOLE,18000
CHC HELICOPTER CORP,CLASS A SUB VTG,12541C203,7629,257500,SH,SOLE,257500
CHESAPEAKE ENERGY CORP,COMMON,1.65E+08,8336,180632,SH,SOLE,180632
CHEVRON CORP NEW,COMMON,1.67E+08,32431,379933,SH,SOLE,379933
CHOICEPOINT INC,COMMON,1.70E+08,5950,125000,SH,SOLE,125000
CHUBB CORP,COMMON,1.71E+08,1800,36387,SH,SOLE,36387
CISCO SYS INC,COMMON,17275R102,5620,233302,SH,SOLE,233302
CITIGROUP INC,COMMON,1.73E+08,85128,3974211,SH,SOLE,3974211
CLOROX CO DEL,COMMON,1.89E+08,3869,68300,SH,SOLE,68300
CMS ENERGY CORP,COMMON,1.26E+08,707,52200,SH,SOLE,52200
COEUR D ALENE MINES CORP IDA,COMMON,1.92E+08,86,21300,SH,SOLE,21300
COMCAST CORP NEW,CLASS A,20030N101,56242,2908058,SH,SOLE,2908058
COMPANHIA VALE DO RIO DOCE,PFD SP ADR (1 P,2.04E+08,31773,1090000,SH,SOLE,1090000
COMPUTER SCIENCES CORP,COMMON,2.05E+08,1950,47809,SH,SOLE,47809
CON-WAY INC,COMMON,2.06E+08,544,11000,SH,SOLE,11000
CONOCOPHILLIPS,COMMON,20825C104,29622,388691,SH,SOLE,388691
CONSOL ENERGY INC,COMMON,20854P109,1522,22000,SH,SOLE,22000
CONVERGYS CORP,COMMON,2.12E+08,274,18200,SH,SOLE,18200
CORNING INC,COMMON,2.19E+08,7914,329200,SH,SOLE,329200
COSTCO WHSL CORP NEW,COMMON,22160K105,2541,39111,SH,SOLE,39111
COUNTRYWIDE FINANCIAL CORP,COMMON,2.22E+08,9179,1668939,SH,SOLE,1668939
COVENTRY HEALTH CARE INC,COMMON,2.23E+08,391,9700,SH,SOLE,9700
CRANE CO,COMMON,2.24E+08,8139,201700,SH,SOLE,201700
CSX CORP,COMMON,1.26E+08,641,11424,SH,SOLE,11424
CUMMINS INC,COMMON,2.31E+08,346,7400,SH,SOLE,7400
CVS CAREMARK CORPORATION,COMMON,1.27E+08,10113,249633,SH,SOLE,249633
CYTOKINETICS INC,COMMON,23282W100,830,250000,SH,SOLE,250000
DAIMLER AG,ORD NPV (REGD),D1668R123,1502,17500,SH,SOLE,17500
DEAN FOODS CO NEW,COMMON,2.42E+08,726,36138,SH,SOLE,36138
DEERE & CO,COMMON,2.44E+08,8262,102710,SH,SOLE,102710
DELL INC,COMMON,24702R101,20968,1052600,SH,SOLE,1052600
DENISON MINES CORP,COMMON,2.48E+08,1610,255000,SH,SOLE,255000
DEUTSCHE BANK AG,NPV(EU) REG,D18190898,15929,140200,SH,SOLE,140200
DEVON ENERGY CORP NEW,COMMON,25179M103,201,1924,SH,SOLE,1924
DISCOVER FINL SVCS,COMMON,2.55E+08,187,11400,SH,SOLE,11400
DISCOVERY HOLDING CO,COMMON SER A,25468Y107,2122,100000,SH,SOLE,100000
DISNEY WALT CO,COMMON,2.55E+08,545,17357,SH,SOLE,17357
DOMINION RES INC VA NEW,COMMON,25746U109,35567,870878,SH,SOLE,870878
DOW CHEM CO,COMMON,2.61E+08,11253,305374,SH,SOLE,305374
DTE ENERGY CO,COMMON,2.33E+08,324,8319,SH,SOLE,8319
DU PONT E I DE NEMOURS & CO,COMMON,2.64E+08,1959,41905,SH,SOLE,41905
DUKE ENERGY CORP NEW,COMMON,26441C105,1656,92753,SH,SOLE,92753
DYNEGY INC DEL,CLASS A,26817G102,371,47080,SH,SOLE,47080
EASTMAN KODAK CO,COMMON,2.77E+08,85,4800,SH,SOLE,4800
ECOLAB INC,COMMON,2.79E+08,1151,26500,SH,SOLE,26500
EDISON INTL,COMMON,2.81E+08,251,5122,SH,SOLE,5122
ELECTRONIC DATA SYS NEW,COMMON,2.86E+08,615,36945,SH,SOLE,36945
EMBARQ CORP,COMMON,########,464,11576,SH,SOLE,11576
ENBRIDGE INC,COMMON,29250N105,26743,648238,SH,SOLE,648238
ENCANA CORP,COMMON,2.93E+08,131751,1728690,SH,SOLE,1728690
ENERGY EAST CORP,COMMON,29266M109,210,8700,SH,SOLE,8700
ENERPLUS RES FD,TRUST UNIT SER,29274D604,30500,700885,SH,SOLE,700885
ENSCO INTL INC,COMMON,26874Q100,470,7500,SH,SOLE,7500
EXPRESS SCRIPTS INC,COMMON,3.02E+08,1407,21880,SH,SOLE,21880
EXXON MOBIL CORP,COMMON,30231G102,2389,28243,SH,SOLE,28243
FAIRFAX FINL HLDGS LTD,SUB VTG,3.04E+08,9161,31448,SH,SOLE,31448
FAMILY DLR STORES INC,COMMON,3.07E+08,460,23600,SH,SOLE,23600
FEDERAL HOME LN MTG CORP,COMMON,3.13E+08,21854,863126,SH,SOLE,863126
FEDERAL NATL MTG ASSN,COMMON,3.14E+08,11132,422948,SH,SOLE,422948
FEDERAL NATL MTG ASSN,COMMON,3.14E+08,3948,150000,SH,SOLE,150000
FLAGSTONE REINSURANCE HLDGS,SHARES,G3529T105,39837,3292285,SH,SOLE,3292285
FORD MTR CO DEL,COMMON,3.45E+08,95923,16769768,SH,SOLE,16769768
FORDING CDN COAL TR,TRUST UNIT,3.45E+08,11785,225000,SH,SOLE,225000
FORTUNE BRANDS INC,COMMON,3.50E+08,3516,50590,SH,SOLE,50590
FOUNDATION COAL HLDGS INC,COMMON,35039W100,1409,28000,SH,SOLE,28000
FREEPORT-MCMORAN COPPER & GO,COMMON,35671D857,6735,70000,SH,SOLE,70000
GANNETT INC,COMMON,3.65E+08,13221,455104,SH,SOLE,455104
GENERAL ELECTRIC CO,COMMON,3.70E+08,4015,108472,SH,SOLE,108472
GENERAL MTRS CORP,COMMON,3.70E+08,718,37684,SH,SOLE,37684
GENUINE PARTS CO,COMMON,3.72E+08,1366,33972,SH,SOLE,33972
GILDAN ACTIVEWEAR INC,COMMON,3.76E+08,13422,355660,SH,SOLE,355660
GOLD FIELDS LTD NEW,SP ADR(1 ORD),38059T106,680,49200,SH,SOLE,49200
GOLDCORP INC NEW,COMMON,3.81E+08,163149,4196518,SH,SOLE,4196518
GOLDEN STAR RES LTD CDA,COMMON,38119T104,133,38000,SH,SOLE,38000
GOLDMAN SACHS GROUP INC,COMMON,38141G104,917,5547,SH,SOLE,5547
GOODYEAR TIRE & RUBR CO,COMMON,3.83E+08,37725,1462200,SH,SOLE,1462200
GROUPE CGI INC,CLASS A SUB VTG,39945C109,1484,139700,SH,SOLE,139700
HARTFORD FINL SVCS GROUP INC,COMMON,4.17E+08,346,4570,SH,SOLE,4570
HARVEST ENERGY TR,TRUST UNIT,41752X101,1245,55525,SH,SOLE,55525
HASBRO INC,COMMON,4.18E+08,321,11500,SH,SOLE,11500
HEALTH MGMT ASSOC INC NEW,CLASS A,4.22E+08,599,113300,SH,SOLE,113300
HEINZ H J CO,COMMON,4.23E+08,389,8276,SH,SOLE,8276
HERSHEY CO,COMMON,4.28E+08,393,10426,SH,SOLE,10426
HEWLETT PACKARD CO,COMMON,4.28E+08,620,13582,SH,SOLE,13582
HOME DEPOT INC,COMMON,4.37E+08,23080,825163,SH,SOLE,825163
HONEYWELL INTL INC,COMMON,4.39E+08,366,6493,SH,SOLE,6493
HUMANA INC,COMMON,4.45E+08,8052,179487,SH,SOLE,179487
IAMGOLD CORP,COMMON,4.51E+08,2477,333942,SH,SOLE,333942
ILLINOIS TOOL WKS INC,COMMON,4.52E+08,70703,1465956,SH,SOLE,1465956
IMPERIAL OIL LTD,COMMON,4.53E+08,30929,589869,SH,SOLE,589869
INDYMAC BANCORP INC,COMMON,4.57E+08,2970,598700,SH,SOLE,598700
INFINERA CORPORATION,COMMON,45667G103,8105,675458,SH,SOLE,675458
INTEL CORP,COMMON,4.58E+08,140993,6656901,SH,SOLE,6656901
INTERNATIONAL BUSINESS MACHS,COMMON,4.59E+08,53028,460550,SH,SOLE,460550
INTERNATIONAL COAL GRP INC N,COMMON,45928H106,667,105000,SH,SOLE,105000
ISHARES TR,MSCI EMERG MKT,4.64E+08,463,3450,SH,SOLE,3450
JOHNSON & JOHNSON,COMMON,4.78E+08,95954,1479179,SH,SOLE,1479179
JOHNSON CTLS INC,COMMON,4.78E+08,39997,1183335,SH,SOLE,1183335
JP MORGAN CHASE & CO,COMMON,46625H100,26098,607646,SH,SOLE,607646
KIMBERLY CLARK CORP,COMMON,4.94E+08,4168,64567,SH,SOLE,64567
KING PHARMACEUTICALS INC,COMMON,4.96E+08,586,67300,SH,SOLE,67300
KINROSS GOLD CORP,COMMON,4.97E+08,35127,1573875,SH,SOLE,1573875
KOHLS CORP,COMMON,5.00E+08,322,7518,SH,SOLE,7518
KRAFT FOODS INC,CLASS A,50075N104,1449,46725,SH,SOLE,46725
KROGER CO,COMMON,5.01E+08,13521,532342,SH,SOLE,532342
L-3 COMMUNICATIONS HLDGS INC,COMMON,5.02E+08,951,8700,SH,SOLE,8700
LEHMAN BROS HLDGS INC,COMMON,5.25E+08,318,8439,SH,SOLE,8439
LEVEL 3 COMMUNICATIONS INC,COMMON,52729N100,131,61600,SH,SOLE,61600
LEXMARK INTL NEW,CLASS A,5.30E+08,57139,1860000,SH,SOLE,1860000
LILLY ELI & CO,COMMON,5.32E+08,1577,30567,SH,SOLE,30567
LOCKHEED MARTIN CORP,COMMON,5.40E+08,85929,865347,SH,SOLE,865347
LOEWS CORP,COMMON,5.40E+08,313,7772,SH,SOLE,7772
LUNDIN MINING CORP,COMMON,5.50E+08,5262,771340,SH,SOLE,771340
M D C HLDGS INC,COMMON,5.53E+08,254,5800,SH,SOLE,5800
MACYS INC,COMMON,55616P104,362,15700,SH,SOLE,15700
MANULIFE FINL CORP,COMMON,56501R106,124114,3241220,SH,SOLE,3241220
MARATHON OIL CORP,COMMON,5.66E+08,521,11430,SH,SOLE,11430
MARRIOTT INTL INC NEW,CLASS A,5.72E+08,397,11560,SH,SOLE,11560
MASSEY ENERGY CORP,COMMON,5.76E+08,1350,37000,SH,SOLE,37000
MCDONALDS CORP,COMMON,5.80E+08,4323,77509,SH,SOLE,77509
MCGRAW HILL COS INC,COMMON,5.81E+08,829,22432,SH,SOLE,22432
MCKESSON CORP,COMMON,58155Q103,770,14704,SH,SOLE,14704
MDS INC,COMMON,55269P302,3962,203266,SH,SOLE,203266
MEDCO HEALTH SOLUTIONS INC,COMMON,58405U102,959,21894,SH,SOLE,21894
MEDTRONIC INC,COMMON,5.85E+08,939,19420,SH,SOLE,19420
MERCK & CO INC,COMMON,5.89E+08,949,25006,SH,SOLE,25006
MERRILL LYNCH & CO INC,COMMON,5.90E+08,254,6243,SH,SOLE,6243
METHANEX CORP,COMMON,59151K108,1410,53570,SH,SOLE,53570
MICRON TECHNOLOGY INC,COMMON,5.95E+08,85819,14375072,SH,SOLE,14375072
MICROSOFT CORP,COMMON,5.95E+08,191253,6739023,SH,SOLE,6739023
MICROSOFT CORP,COMMON,5.95E+08,1419,50000,SH,SOLE,50000
MOLSON COORS BREWING CO,CLASS B,60871R209,692,13154,SH,SOLE,13154
MORGAN STANLEY,COMMON,6.17E+08,363,7937,SH,SOLE,7937
MOTOROLA INC,COMMON,6.20E+08,114,12280,SH,SOLE,12280
NATIONAL CITY CORP,COMMON,6.35E+08,111,11157,SH,SOLE,11157
NEWMONT MINING CORP,COMMON,6.52E+08,484,10693,SH,SOLE,10693
NEWS CORP,CLASS A,########,1392,74230,SH,SOLE,74230
NEXEN INC,COMMON,65334H102,780500,26291272,SH,SOLE,26291272
NIKE INC,CLASS B,6.54E+08,1146,16860,SH,SOLE,16860
NORTEL NETWORKS CORP NEW,COMMON,6.57E+08,5406,792447,SH,SOLE,792447
NORTHROP GRUMMAN CORP,COMMON,6.67E+08,848,10894,SH,SOLE,10894
NOVA CHEMICALS CORP,COMMON,66977W109,3458,145000,SH,SOLE,145000
NOVELL INC,COMMON,6.70E+08,866,137600,SH,SOLE,137600
NOVELLUS SYS INC,COMMON,6.70E+08,459,21800,SH,SOLE,21800
OCCIDENTAL PETE CORP DEL,COMMON,6.75E+08,477,6522,SH,SOLE,6522
OPEN TEXT CORP,COMMON,6.84E+08,880,27800,SH,SOLE,27800
ORACLE CORP,COMMON,68389X105,2318,118529,SH,SOLE,118529
PATRIOT COAL CORP,COMMON,70336T104,1147,24430,SH,SOLE,24430
PEABODY ENERGY CORP,COMMON,7.05E+08,1035,20300,SH,SOLE,20300
PENGROWTH ENERGY TR,TRUST UNIT,7.07E+08,3863,201481,SH,SOLE,201481
PENN WEST ENERGY TR,TRUST UNIT,7.08E+08,21955,782178,SH,SOLE,782178
PEPSI BOTTLING GROUP INC,COMMON,7.13E+08,1399,41257,SH,SOLE,41257
PEPSICO INC,COMMON,7.13E+08,1544,21380,SH,SOLE,21380
PETRO-CDA,COMMON,########,50977,1169610,SH,SOLE,1169610
PETROLEO BRASILEIRO SA PETRO,ADR(2 ORD SHRS),71654V408,85844,840700,SH,SOLE,840700
PFIZER INC,COMMON,7.17E+08,113033,5400525,SH,SOLE,5400525
POPULAR INC,COMMON,7.33E+08,184,15805,SH,SOLE,15805
POTASH CORP SASK INC,COMMON,73755L107,111663,718320,SH,SOLE,718320
PRAXAIR INC,COMMON,74005P104,1372,16283,SH,SOLE,16283
PROCENTURY CORP,COMMON,74268T108,472,26250,SH,SOLE,26250
PROCTER & GAMBLE CO,COMMON,7.43E+08,76371,1089924,SH,SOLE,1089924
PROGRESS ENERGY INC,COMMON,7.43E+08,255,6118,SH,SOLE,6118
PROGRESSIVE CORP OHIO,COMMON,7.43E+08,833,51861,SH,SOLE,51861
PRUDENTIAL FINL INC,COMMON,7.44E+08,479,6118,SH,SOLE,6118
QUEST DIAGNOSTICS INC,COMMON,74834L100,380,8400,SH,SOLE,8400
QWEST COMMUNICATIONS INTL IN,COMMON,7.49E+08,212,46700,SH,SOLE,46700
RAYTHEON CO,COMMON,7.55E+08,573,8873,SH,SOLE,8873
RENAISSANCERE HOLDINGS LTD,COMMON,G7496G103,12765,245900,SH,SOLE,245900
RESEARCH IN MOTION LTD,COMMON,7.61E+08,112395,998550,SH,SOLE,998550
ROGERS COMMUNICATIONS INC,CLASS B NON VTG,7.75E+08,42525,1181820,SH,SOLE,1181820
ROYAL BK CDA MONTREAL QUE,COMMON,7.80E+08,118363,2532780,SH,SOLE,2532780
SAFEWAY INC,COMMON,7.87E+08,102510,3492689,SH,SOLE,3492689
SEMPRA ENERGY,COMMON,8.17E+08,646,12130,SH,SOLE,12130
SHAW COMMUNICATIONS INC,CLASS B NON VTG,82028K200,20963,1145310,SH,SOLE,1145310
SIGMA ALDRICH CORP,COMMON,8.27E+08,2249,37700,SH,SOLE,37700
SK TELECOM LTD,ADR(1/9 ORD),78440P108,3162,146300,SH,SOLE,146300
SPRINT NEXTEL CORP,SER 1 COMMON,8.52E+08,3055,456701,SH,SOLE,456701
STEEL DYNAMICS INC,COMMON,8.58E+08,284,8600,SH,SOLE,8600
STMICROELECTRONICS N V,ADR (1 ORD SHAR,8.61E+08,6119,574000,SH,SOLE,574000
STRYKER CORP,COMMON,8.64E+08,852,13100,SH,SOLE,13100
SUN LIFE FINL INC,COMMON,8.67E+08,55647,1189761,SH,SOLE,1189761
SUNCOR ENERGY INC,COMMON,8.67E+08,103594,1071387,SH,SOLE,1071387
SUNOCO INC,COMMON,86764P109,323,6160,SH,SOLE,6160
SYSCO CORP,COMMON,8.72E+08,1790,61668,SH,SOLE,61668
TALISMAN ENERGY,COMMON,########,41847,2357906,SH,SOLE,2357906
TARGET CORP,COMMON,########,2539,50093,SH,SOLE,50093
TD AMERITRADE HLDG CORP,COMMON,87236Y108,103394,6262500,SH,SOLE,6262500
TECK COMINCO LTD,CLASS B SUB VTG,8.79E+08,41588,1013818,SH,SOLE,1013818
TELE NORTE LESTE PART S A,ADR(1 PRF SHR),8.79E+08,7259,273500,SH,SOLE,273500
TELEFONOS DE MEXICO S A B,SP ADR (20 SER,8.79E+08,12991,345508,SH,SOLE,345508
TELUS CORP,NON VTG,87971M202,202,4800,SH,SOLE,4800
TERADYNE INC,COMMON,8.81E+08,221,17800,SH,SOLE,17800
THOMSON CORP,COMMON,8.85E+08,13762,409047,SH,SOLE,409047
TIM HORTONS INC,COMMON,88706M103,34068,1000165,SH,SOLE,1000165
TJX COS INC NEW,COMMON,8.73E+08,7781,235300,SH,SOLE,235300
TORONTO DOMINION BK ONT,COMMON,8.91E+08,78343,1273706,SH,SOLE,1273706
TOTAL S A,ADR(1 ORD SHR),########,411,5560,SH,SOLE,5560
TRANSALTA CORP,COMMON,89346D107,10434,335301,SH,SOLE,335301
TRANSCANADA CORP,COMMON,89353D107,36009,934187,SH,SOLE,934187
TRANSOCEAN INC NEW,COMMON,G90073100,8328,61600,SH,SOLE,61600
TRANSOCEAN INC NEW,COMMON,G90073100,4056,30000,SH,SOLE,30000
TRAVELERS COMPANIES INC,COMMON,########,1036,21650,SH,SOLE,21650
TYCO INTL LTD BERMUDA,COMMON,G9143X208,16558,375889,SH,SOLE,375889
TYSON FOODS INC,CLASS A,9.02E+08,678,42526,SH,SOLE,42526
UNITED PARCEL SERVICE INC,CLASS B,9.11E+08,13839,189521,SH,SOLE,189521
UNITEDHEALTH GROUP INC,COMMON,91324P102,1863,54221,SH,SOLE,54221
UNUM GROUP,COMMON,91529Y106,641,29130,SH,SOLE,29130
US BANCORP DEL,COMMON,9.03E+08,260,8031,SH,SOLE,8031
UST INC,COMMON,9.03E+08,273,5000,SH,SOLE,5000
VALERO ENERGY CORP NEW,COMMON,91913Y100,709,14428,SH,SOLE,14428
VERIZON COMMUNICATIONS INC,COMMON,92343V104,60501,1659844,SH,SOLE,1659844
WAL MART STORES INC,COMMON,9.31E+08,3301,62656,SH,SOLE,62656
WALGREEN CO,COMMON,9.31E+08,1834,48155,SH,SOLE,48155
WELLPOINT INC,COMMON,94973V107,489,11079,SH,SOLE,11079
WENDYS INTL INC,COMMON,9.51E+08,203,8800,SH,SOLE,8800
WESTERN DIGITAL CORP,COMMON,9.58E+08,1871,69200,SH,SOLE,69200
WRIGLEY WM JR CO,COMMON,9.83E+08,1835,29198,SH,SOLE,29198
WYETH,COMMON,9.83E+08,550,13179,SH,SOLE,13179
XILINX INC,COMMON,9.84E+08,337,14200,SH,SOLE,14200
XL CAP LTD,CLASS A,G98255105,275,9300,SH,SOLE,9300
XTO ENERGY INC,COMMON,98385X106,1708,27603,SH,SOLE,27603
YAMANA GOLD INC,COMMON,98462Y100,18798,1280706,SH,SOLE,1280706
YM BIOSCIENCES INC,COMMON,9.84E+08,353,361835,SH,SOLE,361835
</TABLE>,,,,,,,